id,name,brand,type,note,link
IMG_20220912_0033_2_0,396,handmade,pan watercolor,,
IMG_20220912_0033_2_1,yellow ocher pr130,paul rubens,tube watercolor,,
IMG_20220912_0033_2_2,latte brown a300,arteza,tube gouache,,
IMG_20220912_0034_0_0,666,handmade,pan watercolor,,
IMG_20220912_0034_0_1,rouge de bresil,L'Artisan Pastellier Vegetable Ink,ink,,
IMG_20220912_0034_0_2,red fuchsite genuine,daniel smith,tube watercolor,,
IMG_20220912_0034_1_0,359,handmade,pan watercolor,,
IMG_20220912_0034_1_1,caput mortuun,Rohrer & Klingner Rohrer's Antique Ink,ink,,https://www.cultpens.com/i/q/RK76110/rohrer--klingner-rohrers-antique-ink-100ml
IMG_20220912_0034_1_2,burnt umber,daniel smith,tube watercolor,,
IMG_20220912_0034_2_0,burnt sienna pr143,paul rubens,tube watercolor,,
IMG_20220912_0034_2_1,piemontite genuine,daniel smith,tube watercolor,,
IMG_20220912_0034_2_2,ancient copper,diamine,ink,,
IMG_20220912_0035_0_0,fauve de quebrancho,L'Artisan Pastellier Vegetable Ink,ink,,
IMG_20220912_0035_0_1,raw umber pr147,paul rubens,tube watercolor,,
IMG_20220912_0035_0_2,empty,empty,empty,,
IMG_20220912_0035_1_0,burnt tigers eye genuine,daniel smith,tube watercolor,,
IMG_20220912_0035_1_1,cherry sunburst,diamine,ink,,
IMG_20220912_0035_1_2,empty,empty,empty,,
IMG_20220912_0035_2_0,sepia ,daniel smith,tube watercolor,,
IMG_20220912_0035_2_1,empty,empty,empty,,
IMG_20220912_0035_2_2,empty,empty,empty,,
IMG_20220912_0036_0_0,ice blue a500,arteza,tube gouache,,
IMG_20220912_0036_0_1,taupe a406,arteza,tube gouache,,
IMG_20220912_0036_0_2,tan ,arteza,tube gouache,,
IMG_20220912_0036_1_0,pearl white rose,arteza,tube gouache,,
IMG_20220912_0036_1_1,ballerina pink,arteza,tube gouache,,
IMG_20220912_0036_1_2,yellow ochre a105,arteza,tube gouache,,
IMG_20220912_0036_2_0,pale yellow a100,arteza,tube gouache,,
IMG_20220912_0036_2_1,pearl sage green,arteza,tube gouache,,
IMG_20220912_0036_2_2,transparent red oxide,daniel smith,tube watercolor,,
IMG_20220912_0037_0_0,gray,arteza,tube gouache,,
IMG_20220912_0037_0_1,empty,empty,empty,,
IMG_20220912_0037_0_2,empty,empty,empty,,
IMG_20220912_0037_1_0,pearl gray a711,arteza,tube gouache,,
IMG_20220912_0037_1_1,empty,empty,empty,,
IMG_20220912_0037_1_2,empty,empty,empty,,
IMG_20220912_0037_2_0,silver a710,arteza,tube gouache,,
IMG_20220912_0037_2_1,empty,empty,empty,,
IMG_20220912_0037_2_2,empty,empty,empty,,
IMG_20220912_0038_0_0,kr-479418,kremer,pan watercolor,,
IMG_20220912_0038_0_1,183,handmade,pan watercolor,,
IMG_20220912_0038_0_2,gra 4,handmade,pan watercolor,,
IMG_20220912_0038_1_0,kr 479458,kremer,pan watercolor,,
IMG_20220912_0038_1_1,hematite genuine,daniel smith,tube watercolor,,
IMG_20220912_0038_1_2,kr 479468,kremer,pan watercolor,,
IMG_20220912_0038_2_0,kr 479428,kremer,pan watercolor,,
IMG_20220912_0038_2_1,kr 472508,kremer,pan watercolor,,
IMG_20220912_0038_2_2,grape seed black,schmincke liquid charcoal,tube watercolor,,
IMG_20220912_0039_0_0,earl gray,diamine,ink,,
IMG_20220912_0039_0_1,kwz iron gall blue black ,kwz,ink,,https://www.cultpens.com/i/q/KZ66316/kwz-iron-gall-ink-60ml
IMG_20220912_0039_0_2,shadow violet,daniel smith,tube watercolor,,
IMG_20220912_0039_1_0,fog gray,De Atramentis,ink,,
IMG_20220912_0039_1_1,vinta black onyx,vinta,ink,,
IMG_20220912_0039_1_2,moon glow,daniel smith,tube watercolor,,
IMG_20220912_0039_2_0,parker black,parker,ink,,
IMG_20220912_0039_2_1,noir de campeche,L'Artisan Pastellier Vegetable Ink,ink,,
IMG_20220912_0039_2_2,athena gray,Laban Greek Mythology,ink,,
IMG_20220912_0040_0_0,sodalite genuine,daniel smith,tube watercolor,,
IMG_20220912_0040_0_1,gra-1,handmade,pan watercolor,,
IMG_20220912_0040_0_2,gra -5,handmade,pan watercolor,,
IMG_20220912_0040_1_0,indigo,daniel smith,tube watercolor,,
IMG_20220912_0040_1_1,gra-6,handmade,pan watercolor,,
IMG_20220912_0040_1_2,gra-2,handmade,pan watercolor,,
IMG_20220912_0040_2_0,kyanite genuine,daniel smith,tube watercolor,,
IMG_20220912_0040_2_1,bronze a703,arteza,tube gouache,,
IMG_20220912_0040_2_2,gold a702,arteza,tube gouache,,
IMG_20220912_0041_0_0,koh-1- noir,koh,pan watercolor,,
IMG_20220912_0041_0_1,solstice,diamine,ink,,
IMG_20220912_0041_0_2,soft black pr156,paul rubens,tube watercolor,,
IMG_20220912_0041_1_0,onyx black,spectrum noir,ink,discontinued,
IMG_20220912_0041_1_1,kr 124408,kremer,pan watercolor,,
IMG_20220912_0041_1_2,kr 471008,kremer,pan watercolor,,
IMG_20220912_0041_2_0,onyx black,diamine,ink,,
IMG_20220912_0041_2_1,nitram charcoal,nitram,pan watercolor,charcoal,
IMG_20220912_0041_2_2,noir ,arteza,tube gouache,,
IMG_20221010_0004_0_0,piemontite genuine,daniel smith,tube watercolor,,
IMG_20221010_0004_0_1,bloodstone genuine,daniel smith,tube watercolor,,
IMG_20221010_0004_0_2,kingman green turquoise genuine,daniel smith,tube watercolor,,
IMG_20221010_0004_1_0,diopside genuine,daniel smith,tube watercolor,,
IMG_20221010_0004_1_1,zoisite genuine daniel smith,daniel smith,tube watercolor,,
IMG_20221010_0004_1_2,potter's pink,daniel smith,tube watercolor,,
IMG_20221010_0004_2_0,blue apatite genuine,daniel smith,tube watercolor,,
IMG_20221010_0004_2_1,sugilite genuine,daniel smith,tube watercolor,,
IMG_20221010_0004_2_2,red jasper genuine,daniel smith,tube watercolor,,
IMG_20221010_0005_0_0,joseph z's cool gray,daniel smith,tube watercolor,,
IMG_20221010_0006_0_0,buff titanium,daniel smith,tube watercolor,,
IMG_20221010_0006_0_1,organic vermilion,daniel smith,tube watercolor,,
IMG_20221010_0006_0_2,cerulean blue chrominum,daniel smith,tube watercolor,,
IMG_20221010_0006_1_0,sicklerite genuine,daniel smith,tube watercolor,,
IMG_20221010_0006_1_1,cadmium red scarlet hue,daniel smith,tube watercolor,,
IMG_20221010_0006_1_2,natural tint,daniel smith,tube watercolor,,
IMG_20221010_0006_2_0,fired gold ochre,daniel smith,tube watercolor,,
IMG_20221010_0006_2_1,fuchsite genuine,daniel smith,tube watercolor,,
IMG_20221010_0006_2_2,payne's gray,daniel smith,tube watercolor,,
